Date,RF
2021-08-04,5.765929066996314e-05
2021-08-05,5.759135921404079e-05
2021-08-06,5.754196838347607e-05
2021-08-09,5.765929066996314e-05
2021-08-10,5.7177076765614364e-05
2021-08-11,5.7177076765614364e-05
2021-08-12,5.7177076765614364e-05
2021-08-13,5.7177076765614364e-05
2021-08-16,5.7177076765614364e-05
2021-08-17,5.7177076765614364e-05
2021-08-18,5.760228937997446e-05
2021-08-19,6.883404146732098e-05
2021-08-20,6.897870681631524e-05
2021-08-23,8.086432163660139e-05
2021-08-24,5.874657701854734e-05
2021-08-25,5.7834514780881105e-05
2021-08-26,5.7177076765614364e-05
2021-08-27,5.7177076765614364e-05
2021-08-30,5.927070975368005e-05
2021-08-31,5.8544154701059445e-05
2021-09-01,5.7177076765614364e-05
2021-09-02,5.7177076765614364e-05
2021-09-03,5.7177076765614364e-05
2021-09-07,5.7177076765614364e-05
2021-09-08,5.7177076765614364e-05
2021-09-09,5.7177076765614364e-05
2021-09-10,5.7177076765614364e-05
2021-09-13,5.775422294677041e-05
2021-09-14,5.994451669576863e-05
2021-09-15,6.14752273065991e-05
2021-09-16,5.927070975368005e-05
2021-09-17,5.83167286852299e-05
2021-09-20,6.455953147208141e-05
2021-09-21,0.00010109448042252695
2021-09-22,7.29070673563345e-05
2021-09-23,0.00010823209222431457
2021-09-24,6.988852041410487e-05
2021-09-27,7.70670072841957e-05
2021-09-28,7.035436124690031e-05
2021-09-29,0.00013206709604391849
2021-09-30,6.772166258197774e-05
2021-10-01,0.0001544471767229953
2021-10-04,8.27752202080218e-05
2021-10-05,0.00017252701348206972
2021-10-06,7.125152692690621e-05
2021-10-07,8.284104648059964e-05
2021-10-08,6.354764437868014e-05
2021-10-11,6.541728544750897e-05
2021-10-12,5.7177076765614364e-05
2021-10-13,5.927070975368005e-05
2021-10-14,6.395908377583152e-05
2021-10-15,5.878457038211346e-05
2021-10-18,6.0966224553624785e-05
2021-10-19,7.5831654389845e-05
2021-10-20,6.746503167509699e-05
2021-10-21,5.7177076765614364e-05
2021-10-22,5.7177076765614364e-05
2021-10-25,5.7177076765614364e-05
2021-10-26,5.7177076765614364e-05
2021-10-27,5.7177076765614364e-05
2021-10-28,5.7177076765614364e-05
2021-10-29,5.776724871527069e-05
2021-11-01,5.989613750626035e-05
2021-11-02,5.739180753104935e-05
2021-11-03,5.7177076765614364e-05
2021-11-04,5.7177076765614364e-05
2021-11-05,5.7177076765614364e-05
2021-11-08,5.7177076765614364e-05
2021-11-09,5.7177076765614364e-05
2021-11-10,5.7177076765614364e-05
2021-11-11,7.182110396452596e-05
2021-11-12,6.0818864052514934e-05
2021-11-15,6.498403511965739e-05
2021-11-16,5.751285434904249e-05
2021-11-17,5.7177076765614364e-05
2021-11-18,5.7177076765614364e-05
2021-11-19,5.7177076765614364e-05
2021-11-22,5.7177076765614364e-05
2021-11-23,5.7177076765614364e-05
2021-11-24,5.7177076765614364e-05
2021-11-26,7.719472517051087e-05
2021-11-29,0.00016062743813866995
2021-11-30,6.904043977305484e-05
2021-12-01,0.00022351704698504504
2021-12-02,9.860608213440926e-05
2021-12-03,0.00019681474039350873
2021-12-06,0.0001012927294126912
2021-12-07,0.0001037439070167286
2021-12-08,9.704891796661654e-05
2021-12-09,6.687330439295731e-05
2021-12-10,0.00010087578105147348
2021-12-13,7.188131108285232e-05
2021-12-14,6.614708767443914e-05
2021-12-15,6.453501897102338e-05
2021-12-16,6.738731145486251e-05
2021-12-17,6.825614211479559e-05
2021-12-20,8.902632007299534e-05
2021-12-21,9.730223823278284e-05
2021-12-22,8.655360292574703e-05
2021-12-23,8.214730383982324e-05
2021-12-27,7.9569511178865e-05
2021-12-28,7.396478717063254e-05
2021-12-29,6.066808514880555e-05
2021-12-30,5.986761212767419e-05
2021-12-31,6.222481607907589e-05
2022-01-03,5.7177076765614364e-05
2022-01-04,5.7177076765614364e-05
2022-01-05,7.443415293164758e-05
2022-01-06,9.25668373051807e-05
2022-01-07,6.620787346711313e-05
2022-01-10,0.00013958091565664959
2022-01-11,7.114431534177756e-05
2022-01-12,8.484554603513223e-05
2022-01-13,6.0934509074702575e-05
2022-01-14,8.252847919358235e-05
2022-01-18,6.874230036823559e-05
2022-01-19,0.00011534043020926137
2022-01-20,8.755715284008e-05
2022-01-21,0.00028900320379966115
2022-01-24,0.00012034064697564788
2022-01-25,0.0001085724478843803
2022-01-26,0.00015916130110113096
2022-01-27,8.022499744121736e-05
2022-01-28,0.00012527968544353535
2022-01-31,8.770870126014642e-05
2022-02-01,6.719567309158178e-05
2022-02-02,0.00012189487277433532
2022-02-03,0.00018265322892243219
2022-02-04,0.00018304319890109604
2022-02-07,6.620787346711313e-05
2022-02-08,0.0001368161184583933
2022-02-09,7.426595571107169e-05
2022-02-10,8.86737663202113e-05
2022-02-11,0.00011391396492778499
2022-02-14,0.0001183217854852628
2022-02-15,0.00012281012517448083
2022-02-16,0.00018793157798394013
2022-02-17,0.00013239903462878105
2022-02-18,0.00033203584062160173
2022-02-22,7.869095991437678e-05
2022-02-23,0.00020775991498096614
2022-02-24,0.00011847195939464717
2022-02-25,0.00011844674939196482
2022-02-28,0.00033666338491312764
2022-03-01,9.168795604012024e-05
2022-03-02,0.00029975088087775864
2022-03-03,8.545934462719441e-05
2022-03-04,0.00013428479014725777
2022-03-07,0.00011222520860822816
2022-03-08,0.0002921387599238002
2022-03-09,9.822698565336716e-05
2022-03-10,0.00030720604299124373
2022-03-11,8.56840035385541e-05
2022-03-14,0.0002513759933803759
2022-03-15,9.877990839495982e-05
2022-03-16,0.00017944972614299074
2022-03-17,9.44207794930563e-05
2022-03-18,0.00013273686546857904
2022-03-21,0.00012961054854173957
2022-03-22,8.436871085653134e-05
2022-03-23,6.660597381331882e-05
2022-03-24,8.141156478391253e-05
2022-03-25,6.860026942435372e-05
2022-03-28,8.158911096605712e-05
2022-03-29,6.858450358552123e-05
2022-03-30,6.549590351937647e-05
2022-03-31,6.318435422934349e-05
2022-04-01,9.334610333509334e-05
2022-04-04,6.828994908772072e-05
2022-04-05,0.00010831638491585494
2022-04-06,8.578693268252684e-05
2022-04-07,8.507306814178573e-05
2022-04-08,8.68506290458327e-05
2022-04-11,7.129238060216961e-05
2022-04-12,0.00010282926532016856
2022-04-13,6.71480138435359e-05
2022-04-14,0.00010973308944839326
2022-04-18,8.431446034671141e-05
2022-04-19,8.510007939070712e-05
2022-04-20,8.475436117113697e-05
2022-04-21,6.560721287849971e-05
2022-04-22,0.00018272678068640284
2022-04-25,0.0002121536339110878
2022-04-26,0.0001374517907625466
2022-04-27,0.0004776669556334966
2022-04-28,0.00011067331483750421
2022-04-29,0.00030663451917529804
2022-05-02,0.00021835694249161403
2022-05-03,0.000279131975988765
2022-05-04,0.00017298916813386574
2022-05-05,0.000175564982693916
2022-05-06,0.0003925561390243671
2022-05-09,0.00016596133900584852
2022-05-10,0.0006660639567248711
2022-05-11,0.00011368963927951404
2022-05-12,0.00032132695929785207
2022-05-13,0.00012882228708871067
2022-05-16,0.0002470991098454458
2022-05-17,8.056775673475356e-05
2022-05-18,0.0002527182951305489
2022-05-19,0.00024915837584730003
2022-05-20,0.0008218433061060417
2022-05-23,0.00017464142726535565
2022-05-24,0.00020058366351563323
2022-05-25,0.000133645025270984
2022-05-26,8.489367903676203e-05
2022-05-27,9.728048716653764e-05
2022-05-31,9.256204150950295e-05
2022-06-01,0.00010605068963295455
2022-06-02,0.00013838556431368333
2022-06-03,7.806179223911431e-05
2022-06-06,0.00011671810622263796
2022-06-07,8.200160717183159e-05
2022-06-08,0.00011161676477071206
2022-06-09,9.767663391531547e-05
2022-06-10,0.00030557231810199293
2022-06-13,0.000284540103456978
2022-06-14,0.0007241458902948522
2022-06-15,0.0002256548820794522
2022-06-16,0.0002383121943199531
2022-06-17,0.000470184273879033
2022-06-21,0.0001287626747451142
2022-06-22,0.0002629915441685778
2022-06-23,0.00011023254858586788
2022-06-24,0.00023127011560832882
2022-06-27,0.0001266466783560643
2022-06-28,7.649903984373693e-05
2022-06-29,0.00024911022278424844
2022-06-30,9.140974901527136e-05
2022-07-01,0.00020974376431366588
2022-07-05,7.625922590578875e-05
2022-07-06,9.132906496541049e-05
2022-07-07,6.391046430881793e-05
2022-07-08,5.7717935363860717e-05
2022-07-11,6.189988892077298e-05
2022-07-12,8.180731586430278e-05
2022-07-13,8.393501567222211e-05
2022-07-14,9.069372562862574e-05
2022-07-15,6.941248603108827e-05
2022-07-18,6.096567164445794e-05
2022-07-19,8.801961954570838e-05
2022-07-20,0.00021125850010378732
2022-07-21,8.025781675358915e-05
2022-07-22,0.00013302546249725633
2022-07-25,7.948274810295007e-05
2022-07-26,6.541287366267239e-05
2022-07-27,0.00010242801355448683
2022-07-28,0.00019422839784079252
2022-07-29,8.232520607011088e-05
2022-08-01,0.00012027912984021537
2022-08-02,8.307010675717499e-05
2022-08-03,7.078500793575537e-05
2022-08-04,6.623419924677971e-05
2022-08-05,6.171877648471284e-05
2022-08-08,7.611669155776432e-05
2022-08-09,6.722682978912928e-05
2022-08-10,6.882617370369351e-05
2022-08-11,8.599765159510701e-05
2022-08-12,6.45674991476532e-05
2022-08-15,0.00011167980012161606
2022-08-16,7.507079714417231e-05
2022-08-17,8.555855797444732e-05
2022-08-18,6.767728623839133e-05
2022-08-19,6.14491611635798e-05
2022-08-22,0.00010548385464951688
2022-08-23,0.0001789265903162522
2022-08-24,8.804581312118182e-05
2022-08-25,0.0001604590748324278
2022-08-26,0.00010430957346544087
2022-08-29,0.00046366443086941607
2022-08-30,7.332217480631721e-05
2022-08-31,0.00018142186064347643
2022-09-01,0.00012569918398935343
2022-09-02,0.00011013613087457836
2022-09-06,7.206534389381822e-05
2022-09-07,6.852823999877722e-05
2022-09-08,7.806825848687157e-05
2022-09-09,6.462539997637266e-05
2022-09-12,7.529150351921408e-05
2022-09-13,0.0001321207137763817
2022-09-14,0.00027313710393184654
2022-09-15,0.0008023124783889316
2022-09-16,0.00021007213119127223
2022-09-19,0.00029302302941498445
2022-09-20,0.0003269324205541033
2022-09-21,7.513527035552408e-05
2022-09-22,0.0001063587873858565
2022-09-23,8.982302308952337e-05
2022-09-26,0.00016765313699460994
2022-09-27,9.331144369405081e-05
2022-09-28,0.00013454066046331094
2022-09-29,0.00013910066139917964
2022-09-30,0.00027983217863103134
2022-10-03,0.000178982941432974
2022-10-04,0.0003726676042438337
2022-10-05,0.00018524099214396443
2022-10-06,0.0002336837719704455
2022-10-07,0.0002013250975094688
2022-10-10,0.0002654446736819659
2022-10-11,8.782837926118325e-05
2022-10-12,0.00014736204477672297
2022-10-13,0.0001041872559464131
2022-10-14,0.00024070692677015013
2022-10-17,0.00021079102279586117
2022-10-18,0.0002148610397759429
2022-10-19,0.00015938299973807088
2022-10-20,0.00015852512511436124
2022-10-21,0.00013413390690036612
2022-10-24,0.00011051007983523154
2022-10-25,6.752145636267175e-05
2022-10-26,0.00012090590056278286
2022-10-27,8.307010675717499e-05
2022-10-28,0.00010098808822542146
2022-10-31,0.00012772211939692557
2022-11-01,6.341051227323667e-05
2022-11-02,0.00013159712168622244
2022-11-03,0.0002482342949311304
2022-11-04,7.930163664328719e-05
2022-11-07,0.00015023126532684978
2022-11-08,9.737966788387332e-05
2022-11-09,0.00010367801081944994
2022-11-10,0.0003224148190509573
2022-11-11,0.0016542251700221887
2022-11-14,0.0003701323009310576
2022-11-15,0.0001403441387821712
2022-11-16,0.0006221148006388985
2022-11-17,0.00041324867779434405
2022-11-18,6.149272583419834e-05
